region_nombre,Fecha,avance_porcentual,cobertura_porcentual,rango_cobertura
Magallanes,2021-01-23,0.09,0.09,<50
Tarapacá,2021-01-23,0.04,0.0,<50
Valparaíso,2021-01-23,0.07,0.0,<50
Ñuble,2021-01-23,1.51,0.0,<50
Biobío,2021-01-23,0.13,0.12,<50
O’Higgins,2021-01-23,1.17,0.0,<50
Maule,2021-01-23,0.04,0.0,<50
Metropolitana,2021-01-23,0.1,0.07,<50
Aysén,2021-01-24,1.9,0.0,<50
Antofagasta,2021-01-24,0.87,0.0,<50
Arica y Parinacota,2021-01-24,1.13,0.0,<50
Atacama,2021-01-24,1.22,0.0,<50
Coquimbo,2021-01-24,1.03,0.0,<50
Araucanía,2021-01-24,0.07,0.07,<50
Los Lagos,2021-01-24,0.06,0.0,<50
Los Ríos,2021-01-24,0.04,0.0,<50
Magallanes,2021-01-24,0.09,0.09,<50
Tarapacá,2021-01-24,0.04,0.0,<50
Valparaíso,2021-01-24,0.07,0.0,<50
Ñuble,2021-01-24,1.51,0.0,<50
Biobío,2021-01-24,0.13,0.12,<50
O’Higgins,2021-01-24,1.17,0.0,<50
Maule,2021-01-24,0.04,0.0,<50
Metropolitana,2021-01-24,0.1,0.07,<50
Aysén,2021-01-25,1.9,0.0,<50
Antofagasta,2021-01-25,0.87,0.0,<50
Arica y Parinacota,2021-01-25,1.13,0.0,<50
Atacama,2021-01-25,1.22,0.0,<50
Coquimbo,2021-01-25,1.03,0.0,<50
Araucanía,2021-01-25,0.07,0.07,<50
Los Lagos,2021-01-25,0.06,0.04,<50
Los Ríos,2021-01-25,0.04,0.02,<50
Magallanes,2021-01-25,0.09,0.09,<50
Tarapacá,2021-01-25,0.04,0.0,<50
Valparaíso,2021-01-25,0.07,0.03,<50
Ñuble,2021-01-25,1.51,0.0,<50
Biobío,2021-01-25,0.13,0.12,<50
O’Higgins,2021-01-25,1.17,0.0,<50
Maule,2021-01-25,0.04,0.03,<50
Metropolitana,2021-01-25,0.1,0.07,<50
Aysén,2021-01-26,1.9,0.0,<50
Antofagasta,2021-01-26,0.87,0.0,<50
Arica y Parinacota,2021-01-26,1.13,0.0,<50
Atacama,2021-01-26,1.22,0.0,<50
Coquimbo,2021-01-26,1.03,0.0,<50
Araucanía,2021-01-26,0.07,0.07,<50
Los Lagos,2021-01-26,0.06,0.06,<50
Los Ríos,2021-01-26,0.04,0.04,<50
Magallanes,2021-01-26,0.09,0.09,<50
Tarapacá,2021-01-26,0.04,0.04,<50
Valparaíso,2021-01-26,0.07,0.03,<50
Ñuble,2021-01-26,1.51,0.0,<50
Biobío,2021-01-26,0.13,0.12,<50
O’Higgins,2021-01-26,1.17,0.0,<50
Maule,2021-01-26,0.04,0.04,<50
Metropolitana,2021-01-26,0.1,0.07,<50
Aysén,2021-01-27,1.9,0.0,<50
Antofagasta,2021-01-27,0.87,0.0,<50
Arica y Parinacota,2021-01-27,1.13,0.0,<50
Atacama,2021-01-27,1.22,0.0,<50
Coquimbo,2021-01-27,1.03,0.0,<50
Araucanía,2021-01-27,0.07,0.07,<50
Los Lagos,2021-01-27,0.06,0.06,<50
Los Ríos,2021-01-27,0.04,0.04,<50
Magallanes,2021-01-27,0.09,0.09,<50
Tarapacá,2021-01-27,0.04,0.04,<50
Valparaíso,2021-01-27,0.07,0.03,<50
Ñuble,2021-01-27,1.51,0.0,<50
Biobío,2021-01-27,0.13,0.12,<50
O’Higgins,2021-01-27,1.17,0.0,<50
Maule,2021-01-27,0.04,0.04,<50
Metropolitana,2021-01-27,0.1,0.07,<50
Aysén,2021-01-28,1.9,0.0,<50
Antofagasta,2021-01-28,0.87,0.0,<50
Arica y Parinacota,2021-01-28,1.13,0.0,<50
Atacama,2021-01-28,1.22,0.0,<50
Coquimbo,2021-01-28,1.03,0.0,<50
